president,start_date,end_date,approve,disapprove
biden,2022-01-03,2022-01-16,0.4,0.56
biden,2021-12-01,2021-12-16,0.43,0.51
biden,2021-11-01,2021-11-16,0.42,0.55
biden,2021-10-01,2021-10-19,0.42,0.52
biden,2021-09-01,2021-09-17,0.43,0.55
biden,2021-08-02,2021-08-17,0.49,0.48
biden,2021-07-06,2021-07-21,0.5,0.45
biden,2021-06-01,2021-06-18,0.56,0.42
biden,2021-05-03,2021-05-18,0.54,0.4
biden,2021-04-01,2021-04-21,0.57,0.4
biden,2021-03-01,2021-03-15,0.54,0.42
biden,2021-02-03,2021-02-18,0.56,0.4
biden,2021-01-21,2021-02-02,0.57,0.37
trump,2021-01-04,2021-01-15,0.34,0.62
trump,2020-12-01,2020-12-17,0.39,0.57
trump,2020-11-05,2020-11-19,0.43,0.55
trump,2020-10-16,2020-10-27,0.46,0.52
trump,2020-09-30,2020-10-15,0.43,0.55
trump,2020-09-14,2020-09-28,0.46,0.52
trump,2020-08-31,2020-09-13,0.42,0.56
trump,2020-07-30,2020-08-12,0.42,0.55
trump,2020-07-01,2020-07-23,0.41,0.56
trump,2020-06-08,2020-06-30,0.38,0.57
trump,2020-05-28,2020-06-04,0.39,0.57
trump,2020-05-01,2020-05-13,0.49,0.48
trump,2020-04-14,2020-04-28,0.49,0.47
trump,2020-04-01,2020-04-14,0.43,0.54
trump,2020-03-13,2020-03-22,0.49,0.45
trump,2020-03-02,2020-03-13,0.44,0.52
trump,2020-02-17,2020-02-28,0.47,0.51
trump,2020-02-03,2020-02-16,0.49,0.48
trump,2020-01-16,2020-01-29,0.49,0.5
trump,2020-01-02,2020-01-15,0.44,0.53
trump,2019-12-02,2019-12-15,0.45,0.51
trump,2019-11-01,2019-11-14,0.43,0.54
trump,2019-10-14,2019-10-31,0.41,0.57
trump,2019-10-01,2019-10-13,0.39,0.57
trump,2019-09-16,2019-09-30,0.4,0.56
trump,2019-09-03,2019-09-15,0.43,0.54
trump,2019-08-15,2019-08-30,0.39,0.57
trump,2019-08-01,2019-08-14,0.41,0.54
trump,2019-07-15,2019-07-31,0.42,0.54
trump,2019-07-01,2019-07-12,0.44,0.51
trump,2019-06-19,2019-06-30,0.41,0.54
trump,2019-06-03,2019-06-16,0.43,0.55
trump,2019-05-15,2019-05-30,0.4,0.55
trump,2019-05-01,2019-05-12,0.42,0.52
trump,2019-04-17,2019-04-30,0.46,0.5
trump,2019-04-01,2019-04-09,0.45,0.51
trump,2019-03-01,2019-03-10,0.39,0.57
trump,2019-02-12,2019-02-28,0.43,0.54
trump,2019-02-01,2019-02-10,0.44,0.52
trump,2019-01-21,2019-01-27,0.37,0.59
trump,2019-01-02,2019-01-10,0.37,0.59
trump,2018-12-17,2018-12-22,0.39,0.55
trump,2018-12-10,2018-12-16,0.38,0.57
trump,2018-12-03,2018-12-09,0.4,0.56
trump,2018-11-26,2018-12-02,0.4,0.56
trump,2018-11-19,2018-11-25,0.38,0.6
trump,2018-11-12,2018-11-18,0.43,0.53
trump,2018-11-05,2018-11-11,0.38,0.56
trump,2018-10-29,2018-11-04,0.4,0.54
trump,2018-10-22,2018-10-28,0.4,0.54
