state,district,dem_cand,rep_cand,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
AK,1,M. PELTOLA,N. BEGICH,dem,0,0.42506,0.03906,0.41154,0.34918,0.37691,0.44472,0.47633
AL,1,NA,J. CARL,gop,1,0.33649,0,NA,NA,NA,NA,NA
AL,2,P. HALL,B. MOORE,gop,0,0.3314,0.00022,0.31853,0.26885,0.29247,0.34319,0.36783
AL,3,L. VEASEY,M. ROGERS,gop,0,0.30793,0.00045,0.30987,0.25552,0.28,0.33698,0.36698
AL,4,R. NEIGHBORS,R. ADERHOLT,gop,0,0.17457,0,0.17071,0.13291,0.14968,0.18927,0.21051
AL,5,K. STANTON,D. STRONG,open,0,0.34089,0.00179,0.33525,0.27378,0.30255,0.36625,0.39753
AL,6,NA,G. PALMER,gop,1,0.32854,0,NA,NA,NA,NA,NA
AL,7,T. SEWELL,B. NICHOLS,dem,0,0.64128,0.99955,0.65834,0.6055,0.63151,0.68637,0.71055
AR,1,M. HODGES,R. CRAWFORD,gop,0,0.2711,0,0.2416,0.19293,0.21388,0.26634,0.29372
AR,2,Q. HATHAWAY,F. HILL,gop,0,0.4107,0.02277,0.40534,0.34755,0.3735,0.43642,0.46534
AR,3,L. HAYS,S. WOMACK,gop,0,0.35821,0.00067,0.33875,0.2843,0.30952,0.36721,0.39451
AR,4,J. WHITE,B. WESTERMAN,gop,0,0.29888,0.00045,0.28682,0.2337,0.25738,0.31381,0.34177
AZ,1,J. HODGE,D. SCHWEIKERT,gop,0,0.48425,0.15982,0.45472,0.39654,0.42416,0.48426,0.51441
AZ,2,T. O'HALLERAN,E. CRANE,dem,0,0.43509,0.03906,0.4174,0.36029,0.38629,0.44806,0.47544
AZ,3,R. GALLEGO,J. ZINK,dem,0,0.73951,1,0.73247,0.68754,0.71011,0.75684,0.77562
AZ,4,G. STANTON,K. COOPER,dem,0,0.53117,0.69665,0.52319,0.46615,0.49263,0.55375,0.57937
AZ,5,J. RAMOS,A. BIGGS,gop,0,0.39708,0.00558,0.36599,0.30916,0.33398,0.39544,0.42549
