from_date,timestamp,tte,version,i_prob,i_med,i_q10,i_q25,i_q75,i_q90,pr_DsDh,pr_DsRh,pr_RsDh,pr_RsRh,house_prob,house_med,house_q10,house_q25,house_q75,house_q90,sen_prob,sen_med,sen_q10,sen_q25,sen_q75,sen_q90
2022-05-04,2022-10-05T04:32:21Z,188,d62d844f,0.09688,0.4764,0.45348,0.46488,0.48872,0.49974,0.03778,0.15533,0.05133,0.75556,0.08911,193,169,181,205,216,0.19311,48,45,46,49,50
2022-05-07,2022-10-05T04:32:42Z,185,d62d844f,0.09562,0.47823,0.45515,0.46629,0.4889,0.49948,0.03711,0.16022,0.05044,0.75222,0.08756,194,170,182,206,216,0.19733,48,45,47,49,50
2022-05-10,2022-10-05T04:33:05Z,182,d62d844f,0.11438,0.47837,0.45623,0.46702,0.49024,0.50125,0.042,0.16689,0.05289,0.73822,0.09489,195,171,182,206,217,0.20889,48,45,47,49,50
2022-05-13,2022-10-05T04:33:26Z,179,d62d844f,0.1125,0.47872,0.45538,0.46641,0.49015,0.5011,0.046,0.16378,0.05511,0.73511,0.10111,194,171,182,206,218,0.20978,48,45,47,49,50
2022-05-22,2022-10-05T04:34:34Z,170,d62d844f,0.12187,0.47849,0.45373,0.46662,0.4908,0.50178,0.04622,0.16511,0.05844,0.73022,0.10467,195,170,182,207,218,0.21133,48,45,47,49,50
2022-05-25,2022-10-05T04:34:57Z,167,d62d844f,0.10437,0.47682,0.45477,0.4656,0.48938,0.50036,0.04533,0.158,0.05244,0.74422,0.09778,194,170,181,206,217,0.20333,48,45,47,49,50
2022-05-28,2022-10-05T04:35:20Z,164,d62d844f,0.1025,0.47876,0.45575,0.4667,0.49068,0.50021,0.04089,0.16667,0.054,0.73844,0.09489,195,171,182,206,217,0.20756,48,45,47,49,50
2022-05-31,2022-10-05T04:36:47Z,161,d62d844f,0.11688,0.47813,0.45298,0.46517,0.4901,0.50176,0.04356,0.16222,0.05422,0.74,0.09778,194,170,181,206,217,0.20578,48,45,47,49,50
2022-06-03,2022-10-05T04:37:10Z,158,d62d844f,0.08812,0.47657,0.45478,0.46528,0.48845,0.49883,0.03156,0.15911,0.04889,0.76044,0.08044,193,170,181,205,216,0.19067,48,45,46,49,50
2022-06-06,2022-10-05T04:42:31Z,155,1494d636,0.10687,0.47706,0.45402,0.46494,0.48913,0.50064,0.03956,0.15733,0.04511,0.758,0.08467,193,170,181,205,216,0.19689,48,45,47,49,50
2022-06-09,2022-10-05T04:42:55Z,152,1494d636,0.105,0.47583,0.45218,0.46414,0.48869,0.50033,0.03956,0.15467,0.04489,0.76089,0.08444,193,169,180,205,216,0.19422,48,45,46,49,50
2022-06-15,2022-10-05T04:43:41Z,146,1494d636,0.10375,0.4779,0.45216,0.46384,0.48972,0.50066,0.04089,0.15756,0.04578,0.75578,0.08667,193,169,180,205,216,0.19844,48,45,46,49,50
