state,district,dem_cand,rep_cand,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
AK,1,M. PELTOLA,N. BEGICH,dem,0,0.42506,0.06518,0.42323,0.36104,0.38848,0.45599,0.48746
AL,1,,J. CARL,gop,1,0.33649,0,,,,,
AL,2,P. HALL,B. MOORE,gop,0,0.3314,0,0.3265,0.28136,0.30242,0.34914,0.37395
AL,3,L. VEASEY,M. ROGERS,gop,0,0.30793,0.00067,0.32675,0.2744,0.29833,0.35331,0.38089
AL,4,R. NEIGHBORS,R. ADERHOLT,gop,0,0.17457,0,0.18398,0.1484,0.16385,0.20208,0.2212
AL,5,K. STANTON,D. STRONG,open,0,0.34089,0.00246,0.35017,0.29261,0.31808,0.38025,0.41029
AL,6,,G. PALMER,gop,1,0.32854,0,,,,,
AL,7,T. SEWELL,B. NICHOLS,dem,0,0.64128,0.99911,0.64976,0.59656,0.62362,0.67713,0.70108
AR,1,M. HODGES,R. CRAWFORD,gop,0,0.2711,0,0.25907,0.21069,0.23142,0.28366,0.30997
AR,2,Q. HATHAWAY,F. HILL,gop,0,0.4107,0.03326,0.41371,0.35849,0.3825,0.44223,0.4726
AR,3,L. HAYS,S. WOMACK,gop,0,0.35821,0.00313,0.34624,0.29497,0.31794,0.37259,0.40006
AR,4,J. WHITE,B. WESTERMAN,gop,0,0.29888,0.00022,0.30051,0.2499,0.27198,0.3264,0.35149
AZ,1,J. HODGE,D. SCHWEIKERT,gop,0,0.48425,0.15826,0.45554,0.40013,0.42528,0.48479,0.51226
AZ,2,T. O'HALLERAN,E. CRANE,dem,0,0.43509,0.03973,0.42305,0.36669,0.39359,0.4526,0.47779
AZ,3,R. GALLEGO,J. ZINK,dem,0,0.73951,0.99978,0.71689,0.66872,0.69381,0.74165,0.76253
AZ,4,G. STANTON,K. COOPER,dem,0,0.53117,0.72433,0.52483,0.46941,0.49632,0.55367,0.57992
AZ,5,J. RAMOS,A. BIGGS,gop,0,0.39708,0.00513,0.37661,0.3227,0.34675,0.40378,0.434
AZ,6,K. ENGEL,J. CISCOMANI,open,0,0.47674,0.21228,0.46088,0.39943,0.42757,0.49387,0.5236
AZ,7,R. GRIJALVA,L. POZZOLO,dem,0,0.64282,0.98862,0.59324,0.53994,0.56603,0.62101,0.64556
AZ,8,,D. LESKO,gop,1,0.40849,0,,,,,
AZ,9,,P. GOSAR,gop,1,0.3499,0,,,,,
