natl,pr_win,q01,q05,q10,q25,q50,q75,q90,q95,q99
0.44,0,141.45000000000002,145.45,151.70000000000002,158,167,175.75,182.10000000000002,188.55,194.11
0.45,0,147.67000000000002,152.89999999999998,156.9,162,171,177,184.10000000000002,186.55,191
0.455,0,149,155.95,158.9,165.75,174,185,193,195.04999999999998,202
0.46,0,154.07,160,164,171,180,191,197,200.54999999999995,205
0.465,0.007407407407407408,157.38,163,169,177,186,195,200,204.0999999999999,213.31
0.47,0.0044444444444444444,163,168,172,177,186,194,202,207,213.52999999999997
0.475,0.015555555555555555,163.98000000000002,173,176,184,192.5,202,209,212,218.51
0.48,0.03111111111111111,170,177.45,180,187,198,207,213,215,223.51
0.485,0.05333333333333334,170,179,182,189,198,208,214,218,228.52999999999997
0.49,0.13518518518518519,170.78,181.95,185,193,203,212,220,224,233
0.495,0.21944444444444444,176.18,185,190,198,206.5,217,223.10000000000002,229,235
0.5,0.30277777777777776,177.59,191,195,201,209.5,220,227,230,237.41000000000003
0.505,0.40555555555555556,189.79,196,198.9,204.75,213,224,229.1,234,243.42000000000002
0.51,0.4666666666666667,191.79,198.95,202,209,217,226,234,238.04999999999998,251.05000000000004
0.515,0.7,196,203.9,209.8,215,228,236,241.1,244.55,246.11
0.52,0.7222222222222222,200.45,207.45,211,217,225,236,245,249.1,256.22
