day,natl_dem,date,q25,q10,q75,q90
1,0.49195,2022-11-08,0.48022,0.46946,0.50392,0.51449
2,0.49196,2022-11-07,0.48045,0.4696,0.50391,0.51468
3,0.49192,2022-11-06,0.48039,0.46963,0.50372,0.51463
4,0.49189,2022-11-05,0.48035,0.46964,0.50389,0.51471
5,0.49187,2022-11-04,0.48045,0.46962,0.50382,0.5148
6,0.49186,2022-11-03,0.48045,0.46965,0.50393,0.51479
7,0.49179,2022-11-02,0.4804,0.46971,0.50377,0.51484
8,0.49176,2022-11-01,0.48032,0.46975,0.5039,0.51466
9,0.49177,2022-10-31,0.4803,0.46972,0.50392,0.51486
10,0.4917,2022-10-30,0.48041,0.46973,0.50376,0.51446
11,0.49167,2022-10-29,0.48037,0.46978,0.50372,0.51436
12,0.49162,2022-10-28,0.48034,0.46981,0.50373,0.51444
13,0.49162,2022-10-27,0.48036,0.46975,0.50363,0.51439
14,0.49171,2022-10-26,0.48035,0.46973,0.5035,0.51472
15,0.49174,2022-10-25,0.48041,0.46995,0.5036,0.51447
16,0.49175,2022-10-24,0.4805,0.46993,0.50357,0.51443
17,0.49165,2022-10-23,0.48036,0.46985,0.5037,0.51452
18,0.49177,2022-10-22,0.48055,0.46984,0.50346,0.5145
19,0.49165,2022-10-21,0.48045,0.46981,0.5036,0.51467
20,0.49178,2022-10-20,0.48041,0.46976,0.50364,0.51477
21,0.49172,2022-10-19,0.48043,0.46991,0.50373,0.51461
22,0.49169,2022-10-18,0.48044,0.46987,0.50365,0.51471
23,0.49171,2022-10-17,0.48033,0.46985,0.50368,0.51467
24,0.49165,2022-10-16,0.48023,0.46991,0.50373,0.51472
25,0.49169,2022-10-15,0.48026,0.46978,0.5037,0.51476
26,0.49151,2022-10-14,0.48027,0.4697,0.50369,0.5146
27,0.4916,2022-10-13,0.48025,0.46959,0.50364,0.51459
28,0.49156,2022-10-12,0.4803,0.46954,0.50365,0.51459
29,0.4916,2022-10-11,0.48025,0.46965,0.50373,0.51451
