dem_seats,pr,cdf
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0.15625,0.00156
44,0.55804,0.00714
45,1.69643,0.02411
46,4.17411,0.06585
47,9.59821,0.16183
48,16.49554,0.32679
49,21.78571,0.54464
50,19.97768,0.74442
51,14.55357,0.88996
52,6.62946,0.95625
53,2.83482,0.9846
54,0.95982,0.9942
55,0.44643,0.99866
56,0.11161,0.99978
57,0.02232,1
58,0,1
59,0,1
60,0,1
61,0,1
62,0,1
63,0,1
64,0,1
65,0,1
