state,district,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
AK,1,dem,0,0.4251,0.037,0.4199,0.3677,0.3924,0.4458,0.4749
AL,1,gop,1,NA,0,NA,NA,NA,NA,NA
AL,2,gop,0,0.3314,0,0.3127,0.2645,0.2872,0.3369,0.3643
AL,3,gop,0,0.3079,3e-4,0.2907,0.2414,0.2662,0.3142,0.3397
AL,4,gop,0,0.1746,0,0.1702,0.1344,0.1494,0.1884,0.2078
AL,5,open,0,0.3409,0.001,0.3365,0.2876,0.31,0.3614,0.3886
AL,6,gop,1,NA,0,NA,NA,NA,NA,NA
AL,7,dem,0,0.6413,0.996,0.6348,0.5854,0.6118,0.6597,0.6825
AR,1,gop,0,0.2711,0,0.259,0.2148,0.2347,0.2815,0.3056
AR,2,gop,0,0.4107,0.009,0.3857,0.3337,0.3586,0.4119,0.4385
AR,3,gop,0,0.3582,0.002,0.3371,0.2886,0.3103,0.3626,0.389
AR,4,gop,0,0.2989,3e-4,0.2837,0.2369,0.2586,0.3059,0.333
AZ,1,gop,0,0.4843,0.101,0.4441,0.3901,0.4159,0.4717,0.5004
AZ,2,dem,0,0.4351,0.0545,0.4311,0.3779,0.4044,0.4583,0.4865
AZ,3,dem,0,0.7395,0.9995,0.7213,0.6775,0.701,0.7438,0.764
AZ,4,dem,0,0.5312,0.7388,0.5255,0.4715,0.4985,0.5532,0.5797
AZ,5,gop,0,0.3971,0.0022,0.3639,0.312,0.3358,0.3901,0.4173
AZ,6,open,0,0.4767,0.1417,0.4543,0.3996,0.4261,0.482,0.5092
AZ,7,dem,0,0.6428,0.9948,0.6273,0.5765,0.6021,0.6531,0.6784
AZ,8,gop,1,NA,0,NA,NA,NA,NA,NA
AZ,9,gop,1,NA,0,NA,NA,NA,NA,NA
CA,1,gop,0,0.3824,0.0018,0.3498,0.2995,0.3226,0.3759,0.4027
CA,2,dem,0,0.7365,0.9995,0.7177,0.6723,0.6963,0.7414,0.7632
CA,3,open,0,0.4667,0.092,0.445,0.3913,0.4175,0.4728,0.4976
CA,4,dem,0,0.6663,0.9968,0.65,0.603,0.6264,0.6753,0.6974
CA,5,gop,0,0.4161,0.0063,0.3812,0.3282,0.3538,0.4085,0.436
CA,6,dem,0,0.574,0.9268,0.5608,0.5091,0.5343,0.5882,0.6133
CA,7,dem,0,0.6699,0.9992,0.6533,0.6041,0.6288,0.6791,0.7009
CA,8,dem,0,0.7599,1,0.7409,0.6985,0.7201,0.7632,0.7816
CA,9,dem,0,0.54,0.8058,0.5344,0.4817,0.508,0.5615,0.5898
CA,10,dem,1,NA,1,NA,NA,NA,NA,NA
CA,11,dem,0,0.8706,1,0.8528,0.8198,0.8378,0.8705,0.8839
CA,12,dem,0,0.9047,0.9998,0.8886,0.8608,0.8767,0.9035,0.9161
CA,13,open,0,0.5314,0.5592,0.5058,0.4518,0.4782,0.533,0.56
CA,14,dem,0,0.7135,0.9998,0.6949,0.6501,0.6723,0.7186,0.7391
CA,15,open,1,NA,1,NA,NA,NA,NA,NA
CA,16,dem,1,NA,1,NA,NA,NA,NA,NA
CA,17,dem,0,0.7248,0.9992,0.7063,0.6609,0.6838,0.7297,0.7506
CA,18,dem,0,0.7037,0.9998,0.6854,0.6372,0.6623,0.7105,0.7323
CA,19,dem,0,0.6862,1,0.6699,0.6227,0.646,0.6942,0.718
CA,20,gop,0,0.3529,0.001,0.3235,0.2742,0.2972,0.3482,0.3753
CA,21,dem,0,0.5801,0.9645,0.5764,0.5239,0.5504,0.6032,0.6278
CA,22,gop,0,0.5417,0.4572,0.496,0.4419,0.4665,0.5239,0.5515
CA,23,gop,0,0.4286,0.0127,0.3921,0.3389,0.3637,0.4196,0.4449
CA,24,dem,0,0.6263,0.993,0.6117,0.5607,0.5863,0.6383,0.6613
CA,25,dem,0,0.5524,0.8423,0.5419,0.4887,0.5148,0.5692,0.5964
CA,26,dem,0,0.5812,0.9485,0.5681,0.5155,0.5425,0.5949,0.6201
CA,27,gop,0,0.5412,0.4498,0.4948,0.4394,0.4667,0.5222,0.55
CA,28,dem,0,0.6514,0.9972,0.6355,0.586,0.6105,0.6618,0.6854
CA,29,dem,1,NA,1,NA,NA,NA,NA,NA
CA,30,dem,1,NA,1,NA,NA,NA,NA,NA
CA,31,dem,0,0.6382,0.9922,0.622,0.5723,0.5981,0.6479,0.6725
CA,32,dem,0,0.6897,0.9995,0.6724,0.6251,0.6487,0.6979,0.72
CA,33,dem,0,0.6082,0.9828,0.5949,0.5429,0.569,0.6215,0.6464
CA,34,dem,1,NA,1,NA,NA,NA,NA,NA
CA,35,dem,0,0.6218,0.988,0.6072,0.558,0.5833,0.6325,0.6572
CA,36,dem,0,0.7071,0.9998,0.6888,0.6423,0.6659,0.7128,0.7343
CA,37,open,1,NA,1,NA,NA,NA,NA,NA
CA,38,dem,0,0.6333,0.9922,0.6171,0.5657,0.5918,0.6431,0.669
CA,39,dem,0,0.6104,0.983,0.5962,0.5457,0.57,0.6231,0.6467
CA,40,gop,0,0.4903,0.1032,0.4464,0.3915,0.4187,0.4737,0.501
CA,41,gop,0,0.4749,0.0747,0.436,0.3839,0.408,0.4633,0.4909
