from_date,timestamp,tte,version,s_prob,s_med,s_q10,s_q25,s_q75,s_q90,i_prob,i_med,i_q10,i_q25,i_q75,i_q90
2022-05-01,2022-09-21T22:24:06Z,191,58e21b3c,0.09785,195,169,182,207,217,0.11,0.47612,0.45225,0.46415,0.4889,0.50111000000000006
2022-05-15,2022-09-21T22:24:32Z,177,58e21b3c,0.10661,196,170,184,208,218,0.12125,0.47921,0.45594,0.46689,0.49172,0.50223
2022-06-01,2022-09-21T22:23:38Z,160,58e21b3c,0.0951,195,169,183,206,217,0.10562,0.47737,0.45347,0.46451,0.48939,0.5005
2022-06-15,2022-09-21T22:25:58Z,146,08f3cabf,0.1016,195,169,182,206,218,0.10312,0.47661,0.45296,0.46413,0.49004,0.50014
2022-07-01,2022-09-21T22:23:11Z,130,58e21b3c,0.104,195,170,183,207,218,0.11812,0.47818,0.45653,0.46662,0.49023,0.50157
2022-07-15,2022-09-21T22:26:23Z,116,08f3cabf,0.08559,195,170,182,205,216,0.08375,0.47703,0.45418,0.46557,0.4877,0.49834
2022-08-01,2022-09-21T22:22:34Z,99,58e21b3c,0.11,196,171,183,208,219,0.14188,0.4781,0.45484,0.46662,0.4917,0.50425
2022-08-07,2022-09-21T22:28:31Z,93,08f3cabf,0.12087,197,173,185,208,219,0.14312,0.48207,0.45777,0.46917,0.49312,0.50382
2022-08-15,2022-09-21T22:26:55Z,85,08f3cabf,0.14565,199,176,187,210,222,0.1925,0.48374,0.46093,0.47141,0.49586,0.50731
2022-08-18,2022-09-21T22:34:49Z,82,7161adc0,0.1315,197,174,186,210,221,0.18187999999999999,0.48179,0.45921,0.46941,0.49538,0.50657
2022-08-22,2022-09-21T22:28:07Z,78,08f3cabf,0.16091,201,177,188,212,223,0.2275,0.48638,0.46258,0.47397,0.4983,0.51
2022-08-25,2022-09-21T22:33:23Z,75,7161adc0,0.15925,200,175,189,212,223,0.21438,0.48608,0.46074,0.47275,0.49765,0.50871
2022-09-01,2022-09-21T22:21:51Z,68,58e21b3c,0.18175,202,179,190,214,226,0.26312,0.48884,0.4658,0.47688,0.50097,0.51167
2022-09-04,2022-09-21T22:32:21Z,65,08f3cabf,0.21425,204,181,193,215,227,0.31312,0.49225,0.46899,0.48019,0.50289,0.51353
2022-09-07,2022-09-21T22:29:17Z,62,08f3cabf,0.2085,204,180,192,215,227,0.30438,0.4906,0.46738,0.47833,0.50317,0.51458
2022-09-10,2022-09-21T22:31:44Z,59,08f3cabf,0.21975,204,180,192,216,228,0.33125,0.49172,0.46791,0.47904,0.50415,0.51519
2022-09-11,2022-09-21T22:38:57Z,58,7161adc0,0.18425,203,180,191,214,225,0.28687,0.49036,0.46786,0.47836,0.5019,0.51215
2022-09-12,2022-09-21T22:38:13Z,57,7161adc0,0.16075,201,176,189,212,222,0.21438,0.48706,0.46477,0.4752,0.4981,0.50856
2022-09-14,2022-09-21T22:36:18Z,55,7161adc0,0.1795,202,179,191,213,225,0.25125,0.48868,0.46528,0.47688,0.50013,0.51033
2022-09-16,2022-09-21T22:37:14Z,53,7161adc0,0.19075,203,180,191,214,225,0.27813,0.49037,0.46729,0.4784,0.50146,0.51291
2022-09-18,2022-09-21T22:31:14Z,51,08f3cabf,0.222,204,181,192,216,228,0.33375,0.49147,0.46625,0.47793,0.50505,0.51516
2022-09-21,2022-09-21T22:30:29Z,48,08f3cabf,0.20375,203,179,191,215,227,0.29688,0.48956,0.46771,0.47839,0.50258,0.51327
