day,natl_dem,date,q25,q10,q75,q90
1,0.4915,2022-11-08,0.4792,0.4694,0.5034,0.5147
2,0.4914,2022-11-07,0.4792,0.4691,0.5037,0.5148
3,0.4915,2022-11-06,0.4792,0.4691,0.5035,0.5146
4,0.4915,2022-11-05,0.4792,0.4691,0.5035,0.5146
5,0.4915,2022-11-04,0.4793,0.4693,0.5033,0.5145
6,0.4916,2022-11-03,0.4792,0.4693,0.5035,0.5143
7,0.4917,2022-11-02,0.4792,0.4694,0.5036,0.5143
8,0.4917,2022-11-01,0.4792,0.4695,0.5035,0.5144
9,0.4916,2022-10-31,0.4791,0.4692,0.5036,0.5146
10,0.4917,2022-10-30,0.479,0.4692,0.504,0.5145
11,0.4917,2022-10-29,0.4789,0.4694,0.504,0.5143
12,0.4917,2022-10-28,0.479,0.4696,0.5037,0.5144
13,0.4916,2022-10-27,0.4793,0.4694,0.5037,0.5144
14,0.4916,2022-10-26,0.4793,0.4694,0.5038,0.5142
15,0.492,2022-10-25,0.4794,0.4696,0.5038,0.5145
16,0.4919,2022-10-24,0.4795,0.4696,0.5037,0.5144
17,0.492,2022-10-23,0.4793,0.4699,0.504,0.5144
18,0.4918,2022-10-22,0.4795,0.4698,0.5037,0.5142
19,0.4918,2022-10-21,0.4796,0.4697,0.5037,0.5142
20,0.4916,2022-10-20,0.4796,0.4696,0.5038,0.5142
21,0.4917,2022-10-19,0.4796,0.4695,0.5037,0.5143
22,0.4914,2022-10-18,0.4793,0.4694,0.5035,0.5141
23,0.4916,2022-10-17,0.4793,0.4695,0.5037,0.5143
24,0.4913,2022-10-16,0.4792,0.4694,0.5038,0.5144
25,0.4911,2022-10-15,0.479,0.4693,0.5039,0.5143
26,0.4912,2022-10-14,0.4789,0.4693,0.5038,0.5141
27,0.4912,2022-10-13,0.4789,0.4694,0.5037,0.5143
28,0.4912,2022-10-12,0.4791,0.4694,0.5037,0.5145
29,0.4909,2022-10-11,0.4792,0.4696,0.5039,0.5145
30,0.4909,2022-10-10,0.4794,0.4696,0.5037,0.514
31,0.4911,2022-10-09,0.4794,0.4698,0.5036,0.5139
32,0.4912,2022-10-08,0.4794,0.4694,0.5036,0.5145
33,0.4914,2022-10-07,0.4793,0.4691,0.5039,0.5146
34,0.4912,2022-10-06,0.4794,0.4693,0.504,0.5145
35,0.4915,2022-10-05,0.4792,0.4691,0.5037,0.5143
36,0.4917,2022-10-04,0.4793,0.4694,0.5037,0.5142
37,0.4914,2022-10-03,0.4793,0.4692,0.5037,0.5141
38,0.4912,2022-10-02,0.4792,0.4694,0.5036,0.5138
39,0.4913,2022-10-01,0.4794,0.4694,0.5035,0.5138
40,0.4913,2022-09-30,0.4796,0.4691,0.5035,0.514
41,0.4914,2022-09-29,0.4793,0.4694,0.5033,0.5138
42,0.4914,2022-09-28,0.4795,0.4691,0.5032,0.5139
43,0.4914,2022-09-27,0.4796,0.4693,0.5033,0.5141
44,0.4915,2022-09-26,0.4796,0.4695,0.5035,0.514
45,0.4914,2022-09-25,0.4796,0.4693,0.5036,0.5138
46,0.4914,2022-09-24,0.4798,0.4695,0.5033,0.5141
47,0.4915,2022-09-23,0.4798,0.4697,0.5032,0.5142
48,0.4916,2022-09-22,0.4799,0.4697,0.5032,0.5139
49,0.4914,2022-09-21,0.4801,0.4697,0.5032,0.5142
50,0.4913,2022-09-20,0.48,0.4697,0.5031,0.514
51,0.4914,2022-09-19,0.4799,0.4695,0.5034,0.514
52,0.4916,2022-09-18,0.48,0.4695,0.5034,0.5142
53,0.4916,2022-09-17,0.4799,0.4696,0.5035,0.5141
54,0.4917,2022-09-16,0.4802,0.4694,0.5033,0.5138
55,0.4917,2022-09-15,0.48,0.4693,0.5031,0.5138
56,0.4916,2022-09-14,0.4801,0.4689,0.5033,0.514
57,0.4917,2022-09-13,0.4802,0.469,0.5033,0.5138
58,0.4916,2022-09-12,0.4802,0.4691,0.5031,0.5137
59,0.4916,2022-09-11,0.48,0.4691,0.503,0.5138
60,0.4914,2022-09-10,0.4803,0.4692,0.5031,0.514
61,0.4913,2022-09-09,0.4802,0.4692,0.5029,0.5139
62,0.4915,2022-09-08,0.48,0.4691,0.5031,0.5138
63,0.4916,2022-09-07,0.4799,0.4689,0.5028,0.5138
64,0.4917,2022-09-06,0.4797,0.4689,0.5027,0.5136
65,0.4918,2022-09-05,0.4797,0.4691,0.5028,0.5139
66,0.4919,2022-09-04,0.4799,0.4691,0.5029,0.5142
67,0.4917,2022-09-03,0.4798,0.4693,0.503,0.514
68,0.4918,2022-09-02,0.4797,0.4691,0.5029,0.514
69,0.4918,2022-09-01,0.48,0.4693,0.503,0.5141
70,0.4919,2022-08-31,0.4798,0.4692,0.5028,0.5139
71,0.4919,2022-08-30,0.4801,0.4691,0.503,0.5139
72,0.4921,2022-08-29,0.48,0.4689,0.5031,0.5141
73,0.492,2022-08-28,0.4799,0.4691,0.5029,0.5143
74,0.4919,2022-08-27,0.48,0.4691,0.5029,0.5141
75,0.4919,2022-08-26,0.4801,0.4691,0.5031,0.5144
76,0.492,2022-08-25,0.4801,0.4695,0.5031,0.5143
77,0.4917,2022-08-24,0.4799,0.4692,0.503,0.5141
78,0.4914,2022-08-23,0.4795,0.4688,0.5027,0.5138
79,0.4912,2022-08-22,0.4793,0.4687,0.5024,0.5137
80,0.4908,2022-08-21,0.4791,0.4686,0.5021,0.5134
81,0.4906,2022-08-20,0.479,0.4685,0.502,0.5133
82,0.4904,2022-08-19,0.4787,0.4682,0.5016,0.5128
83,0.4903,2022-08-18,0.4784,0.4677,0.5016,0.5124
84,0.4899,2022-08-17,0.478,0.4674,0.5013,0.5122
85,0.4895,2022-08-16,0.4776,0.4672,0.501,0.512
86,0.4894,2022-08-15,0.4774,0.4673,0.5007,0.5115
87,0.4891,2022-08-14,0.477,0.4668,0.5005,0.5113
88,0.4889,2022-08-13,0.4768,0.4667,0.5002,0.5111
89,0.4888,2022-08-12,0.4765,0.4664,0.5001,0.5108
90,0.4888,2022-08-11,0.4764,0.4661,0.4999,0.5104
91,0.4883,2022-08-10,0.4761,0.4659,0.4997,0.5104
92,0.4879,2022-08-09,0.4759,0.4658,0.4994,0.51
93,0.4875,2022-08-08,0.4757,0.4655,0.4991,0.5098
94,0.4872,2022-08-07,0.4754,0.4652,0.4989,0.5094
95,0.4871,2022-08-06,0.4752,0.4649,0.4986,0.5091
96,0.4868,2022-08-05,0.475,0.4645,0.4984,0.5084
97,0.4864,2022-08-04,0.4749,0.4645,0.4982,0.5081
98,0.4863,2022-08-03,0.4747,0.4642,0.498,0.508
99,0.4862,2022-08-02,0.4742,0.464,0.4977,0.5078
100,0.4858,2022-08-01,0.4738,0.4636,0.4974,0.5073
101,0.4856,2022-07-31,0.4737,0.4633,0.4973,0.5072
102,0.4852,2022-07-30,0.4735,0.4629,0.4972,0.507
103,0.4849,2022-07-29,0.4732,0.4629,0.4967,0.5068
104,0.4844,2022-07-28,0.4728,0.4624,0.4963,0.5065
105,0.4842,2022-07-27,0.4727,0.462,0.4958,0.5062
106,0.4837,2022-07-26,0.4722,0.4618,0.4955,0.5057
107,0.4835,2022-07-25,0.4717,0.4615,0.4954,0.5054
108,0.4834,2022-07-24,0.4715,0.4614,0.4951,0.5052
109,0.4831,2022-07-23,0.4711,0.4608,0.4951,0.5054
110,0.4826,2022-07-22,0.4711,0.4604,0.4945,0.5053
111,0.4823,2022-07-21,0.4709,0.4601,0.4941,0.5052
112,0.4821,2022-07-20,0.4702,0.4598,0.4939,0.5044
113,0.4819,2022-07-19,0.4701,0.4599,0.49370000000000003,0.5044
114,0.4817,2022-07-18,0.4698,0.4595,0.4935,0.5042
115,0.4817,2022-07-17,0.4696,0.4594,0.4935,0.5038
116,0.4813,2022-07-16,0.4695,0.4592,0.4932,0.5037
117,0.4812,2022-07-15,0.4695,0.4589,0.4929,0.5038
118,0.4807,2022-07-14,0.469,0.4588,0.4928,0.5036
