dem_seats,pr,cdf
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,5e-4,5e-4
137,0,5e-4
138,0,5e-4
139,5e-4,0.001
140,0,0.001
141,0,0.001
142,0.0015,0.0025
143,5e-4,0.003
144,0,0.003
145,0,0.003
146,0,0.003
147,0,0.003
148,5e-4,0.0035
149,5e-4,0.004
150,0.0015,0.0055
151,5e-4,0.006
152,5e-4,0.006500000000000001
153,0,0.006500000000000001
154,0,0.006500000000000001
155,0.001,0.007500000000000001
156,0.001,0.0085
157,5e-4,0.009000000000000001
158,0.0015,0.0105
159,5e-4,0.011000000000000001
160,5e-4,0.011500000000000002
161,0,0.011500000000000002
162,0.0025,0.014000000000000002
163,5e-4,0.014500000000000002
164,0.0025,0.017
165,0.0015,0.018500000000000003
166,0.002,0.020500000000000004
167,0.0025,0.023000000000000003
168,0.001,0.024000000000000004
169,0.002,0.026000000000000002
170,0.0025,0.0285
171,0.0025,0.031
172,0.005,0.036
173,0.002,0.038
174,0.004,0.041999999999999996
175,0.003,0.045
176,0.006,0.051
177,0.0055,0.056499999999999995
178,0.0105,0.06699999999999999
179,0.0085,0.07549999999999998
180,0.009,0.08449999999999998
181,0.0105,0.09499999999999997
182,0.012,0.10699999999999997
183,0.011,0.11799999999999997
184,0.0185,0.13649999999999995
185,0.0105,0.14699999999999996
186,0.01,0.15699999999999997
187,0.0175,0.1745
